"","Position","year","explicit","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","artist_name","track_name"
"115",15,"1961",FALSE,0.723,0.565,0,-4.175,1,0.0386,0.448,0.866,0.0708,0.864,126.588,159173,4,"The Mar-Keys","Last Night"
"116",16,"1961",FALSE,0.49,0.384,0,-11.315,1,0.0275,0.438,3.17e-05,0.539,0.478,137.047,162893,4,"The Shirelles","Will You Love Me Tomorrow"
"117",17,"1961",FALSE,0.477,0.231,2,-11.842,0,0.0259,0.857,0.497,0.0638,0.266,98.226,176760,4,"Ferrante & Teicher","Exodus (Theme From Otto Preminger's ""Exodus"")"
"118",18,"1961",FALSE,0.397,0.316,7,-8.632,1,0.0302,0.721,0,0.221,0.437,72.483,156907,4,"Connie Francis","Where The Boys Are"
"119",19,"1961",FALSE,0.593,0.752,8,-6.617,0,0.0313,0.0841,0.00308,0.197,0.934,172.087,129907,4,"Ray Charles","Hit The Road Jack"
"120",20,"1961",FALSE,0.61,0.272,2,-10.071,1,0.0286,0.888,7.11e-06,0.245,0.585,107.116,199347,4,"Sue Thompson","Sad Movies Make Me Cry"
"121",21,"1961",FALSE,0.747,0.631,7,-8.306,0,0.0409,0.713,0.00024,0.303,0.754,127.416,153600,4,"Ernie K-Doe","Mother-in-Law - 2002 - Remaster"
"122",22,"1961",FALSE,0.655,0.77,2,-6.338,1,0.0649,0.626,0,0.541,0.909,105.394,138893,4,"The Dovells","Bristol Stomp"
"123",23,"1961",FALSE,0.731,0.441,2,-9.454,1,0.0317,0.724,0,0.16,0.887,122.838,143120,4,"Ricky Nelson","Travelin' Man"
"124",24,"1961",FALSE,0.55,0.585,7,-8.657,1,0.0299,0.718,0,0.727,0.893,131.861,169973,4,"The Miracles","Shop Around"
"125",25,"1961",FALSE,0.786,0.262,5,-15.396,1,0.132,0.487,0.0545,0.104,0.906,139.882,167079,4,"Brook Benton","The Boll Weevil Song"
"126",26,"1961",FALSE,0.717,0.343,0,-8.018,1,0.0457,0.568,0,0.139,0.757,128.569,142338,4,"Gene McDaniels","A Hundred Pounds Of Clay - 1995 Digital Remaster"
"127",27,"1961",FALSE,0.686,0.771,1,-8.764,1,0.0594,0.683,0.137,0.333,0.93,118.176,135707,4,"Dick & Dee Dee","The Mountain's High - Original Hit Version"
"128",28,"1961",FALSE,0.648,0.165,4,-16.446,1,0.0348,0.879,0.000216,0.13,0.431,99.585,194160,4,"Marty Robbins","Don't Worry"
"129",29,"1961",FALSE,0.535,0.683,9,-11.677,1,0.0334,0.371,0.0133,0.205,0.922,150.742,126107,4,"Floyd Cramer","On the Rebound"
"130",30,"1961",FALSE,0.338,0.31,0,-9.056,1,0.0268,0.854,0.000136,0.34,0.262,91.7,170038,4,"Steve Lawrence","Portrait Of My Love"
"131",31,"1961",FALSE,0.479,0.837,0,-9.281,0,0.205,0.924,0.0734,0.891,0.885,165.371,150400,4,"Gary U.S. Bonds","Quarter To Three"
"132",32,"1961",FALSE,0.54,0.501,0,-13.04,1,0.0326,0.293,5.28e-06,0.0749,0.931,86.192,162934,4,"Barry Mann","Who Put the Bomp - In the Bomp, Bomp, Bomp"
"133",33,"1961",FALSE,0.657,0.513,1,-12.771,0,0.0378,0.733,0,0.191,0.85,122.102,158000,4,"Neil Sedaka","Calendar Girl"
"134",34,"1961",FALSE,0.589,0.568,5,-11.295,1,0.0806,0.832,0,0.272,0.756,144.566,117600,4,"Chris Kenner","I Like It Like That"
"135",35,"1961",FALSE,0.663,0.359,9,-17.51,0,0.0339,0.954,0.939,0.122,0.321,127.839,187272,4,"Jørgen Ingmann","Apache"
"136",36,"1961",FALSE,0.305,0.457,5,-8.059,1,0.0326,0.829,0,0.176,0.604,201.2,149734,3,"Linda Scott","Don't Bet Money Honey"
"137",37,"1961",FALSE,0.55,0.489,2,-8.06,1,0.0256,0.367,0.541,0.0813,0.691,98.081,130373,3,"Johnny Tillotson","Without You"
"138",38,"1961",FALSE,0.5,0.319,4,-15.735,1,0.039,0.497,0,0.101,0.621,177.489,142907,3,"Ferlin Husky","Wings of a Dove"
"139",39,"1961",FALSE,0.6,0.622,9,-11.936,1,0.0751,0.432,0,0.223,0.922,139.501,151587,4,"Elvis Presley","Little Sister"
"140",40,"1961",FALSE,0.624,0.432,7,-11.132,1,0.0344,0.656,0,0.0785,0.93,127.69,138360,4,"The Marcels","Blue Moon"
"141",41,"1961",FALSE,0.482,0.254,5,-7.723,1,0.0312,0.922,1.54e-05,0.134,0.335,145.539,173907,3,"Shep And The Limelites","Daddy's Home"
"142",42,"1961",FALSE,0.453,0.299,2,-14.331,1,0.0299,0.712,0,0.287,0.354,81.169,157960,4,"Troy Shondell","This Time"
"143",43,"1961",FALSE,0.667,0.535,10,-5.303,1,0.0277,0.603,0,0.122,0.831,109.686,141200,4,"Clarence ""Frogman"" Henry","(I Don't Know Why) But I Do"
"144",44,"1961",FALSE,0.459,0.534,2,-11.926,0,0.0305,0.665,0.825,0.18,0.935,202.954,118133,4,"Kokomo","Asia Minor"
"145",45,"1961",FALSE,0.62,0.406,0,-10.421,1,0.0281,0.722,6.73e-06,0.114,0.676,101.489,146840,4,"Faron Young","Hello Walls"
"146",46,"1961",FALSE,0.469,0.6,2,-9.445,1,0.0783,0.321,0,0.0596,0.642,158.348,172787,4,"Dion","Runaround Sue"
